step,EvalAverageReward
1000,-195.0075177510373
2000,-214.82609099679925
3000,-211.26340438689598
4000,-200.40135916628725
5000,-215.44621591591857
6000,-208.55555010183903
7000,-206.314416759109
8000,-218.85280685217293
9000,-206.9609173472301
10000,-203.22727899980316
11000,-213.42181819458784
12000,-204.35048407362243
13000,-198.13399324984238
14000,-221.5920774790046
15000,-202.86533511306723
16000,-206.05245319776049
17000,-200.44111420297656
18000,-192.8430633629196
19000,-211.29181553381395
20000,-211.47764579675066
21000,-194.3299653221839
22000,-204.20829089435344
23000,-216.37419136624072
24000,-198.45377123782006
25000,-210.32758247809002
26000,-208.8842430543513
27000,-212.5173932494199
28000,-205.60559339643478
29000,-197.47790218899095
30000,-215.11919101993107
31000,-204.01375873468743
32000,-217.26218607872335
33000,-213.30830312730077
34000,-219.6239046298559
35000,-222.44701774833075
36000,-198.70427199823615
37000,-214.91942095878508
38000,-220.40344254519442
39000,-208.34220164290954
40000,-213.29803415457008
41000,-201.5374861884731
42000,-209.3891093549258
43000,-182.6288081357913
44000,-201.83489910048647
45000,-217.12210741778205
46000,-206.1323606042165
47000,-211.37793355584844
48000,-199.27705053236127
49000,-202.10626864187424
50000,-206.84020763184827
51000,-193.95193307860046
52000,-210.0028720254182
53000,-194.25162467792828
54000,-212.18677891534352
55000,-209.47199186976954
56000,-204.69396533169896
57000,-219.58497868185182
58000,-195.242860408998
59000,-197.93003616877073
60000,-213.0410325637361
61000,-199.3546135285147
62000,-182.34212021123432
63000,-205.04803640004587
64000,-210.27491705118933
65000,-225.14386786309132
66000,-220.9968211315339
67000,-189.96443347036302
68000,-230.84570746679046
69000,-193.34974755976708
70000,-194.73568935539492
71000,-206.63658116857528
72000,-215.09263983493344
73000,-208.73660375508544
74000,-200.85708487538267
75000,-203.71636404534877
76000,-209.1125328137497
77000,-195.83682989896948
78000,-207.45491600372105
79000,-210.34716789830696
80000,-198.7026655117799
81000,-191.47087244289338
82000,-218.07875545387424
83000,-203.64150479642146
84000,-213.2571778377832
85000,-223.32560306782443
86000,-207.12739668034095
87000,-200.4820153298148
88000,-215.19320042338967
89000,-203.969237562305
90000,-208.09393815267396
91000,-216.5748354319281
92000,-222.8961020402092
93000,-205.45718194268233
94000,-204.63305107036888
95000,-211.71288550492832
96000,-219.85117802365372
97000,-198.3100924662479
98000,-205.43134688661175
99000,-204.678501677088
100000,-222.58964583807247
101000,-213.48511083293474
102000,-217.52513415466834
103000,-218.0816247157055
104000,-212.43281182433196
105000,-210.14194472243017
106000,-193.9520994310477
107000,-203.42748080309994
108000,-214.00664842889083
109000,-209.11641786070618
110000,-212.6844270851615
111000,-219.2015869746039
112000,-207.85751271214053
113000,-213.05867734030875
114000,-203.27545555665682
115000,-199.62392658732188
116000,-209.5281360483748
117000,-194.3537824790622
118000,-215.45473245661736
119000,-200.96915441201025
120000,-216.40315789754806
121000,-233.5968784988364
122000,-199.54328655434625
123000,-212.07641199323993
124000,-211.7515904314185
125000,-214.3149778724515
126000,-211.39254164931813
127000,-199.64667753482013
128000,-211.20186407088198
129000,-207.87888484000314
130000,-211.18222969014633
131000,-215.4696141420779
132000,-208.89580479756015
133000,-213.55214706904013
134000,-210.11507102378187
135000,-218.0532132352727
136000,-218.55166752535624
137000,-215.1847003177282
138000,-214.66625192938992
139000,-212.91280163965575
140000,-225.9531450509481
141000,-203.12647761713458
142000,-204.38957903763625
143000,-206.19967452886675
144000,-214.53978206890014
145000,-216.850984858739
146000,-221.5819381603789
147000,-205.54081880871962
148000,-217.684955854492
149000,-223.26353393919732
150000,-211.39025959654865
151000,-222.6932271644137
152000,-190.89387806371067
153000,-223.38710805032392
154000,-206.3822277408079
155000,-198.85133629838344
