step,EvalAverageReward
1000,-330.6339874
2000,-341.4580339
3000,-330.8837935
4000,-337.2978264
5000,-332.2896941
6000,-342.8941838
7000,-339.2357995
8000,-335.6823079
9000,-334.5850386
10000,-328.4857884
11000,-340.8628734
12000,-346.7392222
13000,-344.7884432
14000,-330.3384165
15000,-345.769172
16000,-334.2458169
17000,-337.4278339
18000,-337.1078894
19000,-339.9734449
20000,-332.7365295
21000,-341.7585167
22000,-339.3299237
23000,-337.2091987
24000,-343.0987392
25000,-343.9135107
26000,-345.5794863
27000,-344.4757288
28000,-343.7521003
29000,-337.3168206
30000,-348.9941483
31000,-342.5225577
32000,-330.5658491
33000,-332.829821
34000,-336.5900219
35000,-340.9490442
36000,-345.4221327
37000,-334.8726997
38000,-345.4258933
39000,-340.2900175
40000,-340.7368708
41000,-343.4519583
42000,-347.4657549
43000,-340.75725
44000,-335.3104666
45000,-335.5764543
46000,-329.5205128
47000,-330.1851677
48000,-346.1401151
49000,-345.555336
50000,-333.0509066
51000,-343.1439921
52000,-340.8228748
53000,-339.4554946
54000,-335.0144556
55000,-330.0149439
56000,-343.9235488
57000,-333.2936723
58000,-332.3748933
59000,-330.3728323
60000,-333.6475625
61000,-334.4407786
62000,-336.0238747
63000,-342.7943196
64000,-331.0274229
65000,-334.278682
66000,-334.9910418
67000,-339.9230215
68000,-344.1455847
69000,-340.09084
70000,-344.4760997
71000,-337.9881196
72000,-334.3478848
73000,-342.6368001
74000,-327.8936453
75000,-340.6344167
76000,-332.7538671
77000,-342.318871
78000,-335.3253774
79000,-344.3449248
80000,-329.5369036
81000,-338.0857367
82000,-339.6605559
83000,-340.2777298
84000,-334.7098825
85000,-329.1066353
86000,-346.1201395
87000,-339.8366145
88000,-328.8285671
89000,-346.915592
90000,-353.1880157
91000,-340.152312
92000,-338.4891014
93000,-330.5883745
94000,-347.0564329
95000,-340.7730176
96000,-341.7989942
97000,-335.9131383
98000,-334.1772304
99000,-329.0523363
100000,-345.6146006
101000,-338.8277419
102000,-339.2492578
103000,-337.1937826
104000,-329.100969
105000,-344.1147003
106000,-339.8361125
107000,-336.2450745
108000,-337.0998779
109000,-341.8316384
110000,-333.2779252
111000,-338.4302141
112000,-336.6691597
113000,-334.9657842
114000,-350.9480079
115000,-328.6817877
116000,-337.0947729
117000,-334.4844373
118000,-337.4456628
119000,-335.4349123
120000,-334.0147296
121000,-341.0640693
122000,-340.5996334
123000,-332.5033251
124000,-336.317368
125000,-329.5919282
126000,-336.8747483
127000,-339.7000984
128000,-347.0812345
129000,-335.9676831
130000,-332.7310504
131000,-348.3060802
132000,-326.9819121
133000,-335.5341754
134000,-345.2125335
135000,-327.976689
136000,-329.911064
137000,-341.2863973
138000,-343.9913659
139000,-335.6757244
140000,-343.735267
141000,-343.3563088
142000,-332.5054371
143000,-331.7704294
144000,-338.9497279
145000,-328.3175024
146000,-339.155143
147000,-349.6174217
148000,-345.8155096
149000,-352.6249742
150000,-341.2293991
151000,-322.7008395
152000,-339.0537516
153000,-349.2775079
154000,-349.3056252
155000,-334.3888774
156000,-339.8561757
157000,-335.1545125
158000,-346.3094925
159000,-340.0216901
160000,-342.8299136
161000,-342.5924436
162000,-340.749649
163000,-333.4300949
164000,-338.3506396
165000,-334.8268341
166000,-337.3815163
167000,-342.7783826
168000,-337.9200804
169000,-337.3982145
170000,-338.3401758
171000,-334.5603845
172000,-343.8077761
173000,-334.4784208
174000,-330.8422069
175000,-344.3129452
176000,-332.8496181
177000,-338.0434406
178000,-335.7345644
179000,-344.2391293
180000,-342.7100952
181000,-335.452124
182000,-343.2501036
183000,-341.1219511
184000,-335.8887567
185000,-339.0423674
186000,-340.9459118
187000,-333.3150179
188000,-343.6936271
189000,-329.7992331
190000,-339.5037911
191000,-352.4291322
192000,-338.462531
193000,-338.7527227
194000,-342.5656863
195000,-342.2905331
196000,-337.3253413
197000,-344.1024979
198000,-329.5086945
199000,-345.2476857
200000,-324.0399865
201000,-325.4574162
202000,-361.8175284
203000,-349.0112544
204000,-377.4107839
205000,-368.252516
206000,-384.3299536
207000,-367.123762
208000,-371.2330277
209000,-371.4723645
210000,-300.8343498
211000,-235.2606473
212000,-218.9987064
213000,-211.8357542
214000,-172.0217575
215000,-232.5393456
216000,-189.6966177
217000,-188.7885017
218000,-153.3832409
219000,-202.995869
220000,-164.3598049
221000,-103.633198
222000,-124.0186633
223000,-185.559339
224000,-186.777187
225000,-159.309959
226000,-186.6601068
227000,-114.2127491
228000,-122.3932201
229000,-158.3156974
